target_id	length	eff_length	est_counts	tpm
b0001	66	6.13712	0	0
b0002	2463	1964	78	190.681
b0003	933	434	23	254.445
b0004	1287	788	24	146.231
b0005	297	11.6716	0	0
b0006	777	278	10	172.707
b0007	1431	932	1	5.15157
b0008	954	455	229	2416.46
b0009	588	93.3306	0	0
b0010	567	76.7977	3	187.555
b0011	714	215.002	0	0
b0013	405	19.811	0	0
b0014	1917	1418	650	2200.86
b0015	1131	632	25	189.923
b0016	1113	614	18	140.754
b0018	210	8.69356	0	0
b4412	153	7.45333	0	0
b0019	1167	668	42	301.876
b0020	906	407	10	117.967
b0021	504	42.0749	1.96875	224.659
b0022	276	10.782	0	0
b0023	264	10.331	0	0
b0024	219	8.9292	0	0
b0025	942	443	38	411.846
b0026	2817	2318	118	244.413
b0027	495	38.8032	1	123.734
b0028	450	26.8585	0	0
b0029	951	452	16	169.956
b0030	915	416	3	34.6245
b0031	822	323	7	104.052
b0032	1149	650	9	66.479
b0033	3222	2723	9	15.869
b0034	396	18.7715	0	0
b0035	591	95.8682	0	0
b0036	786	287	0	0
b0037	1554	1055	1	4.55096
b0038	1218	719	0	0
b0039	1143	644	0	0
b0040	1515	1016	1	4.72565
b0041	771	272	0	0
b0042	942	443	0	0
b0043	1287	788	0	0
b0044	288	11.2734	0	0
b0045	1332	833	0	0
b0046	531	54.2343	1	88.5281
b0047	1863	1364	3	10.56
b0048	480	34.082	0	0
b0049	843	344	7	97.7001
b0050	378	16.9581	0	0
b0051	822	323	21	312.156
b0052	990	491	8	78.2283
b0053	1287	788	61	371.671
b0054	2355	1856	121	313.013
b0055	816	317	0	0
b4659	807	308	6	93.5311
b0058	660	161.116	11	327.801
b0059	2907	2408	143	285.125
b0060	2352	1853	4	10.3643
b0061	696	197.009	0	0
b0062	1503	1004	0	0
b0063	1701	1202	0	0
b0064	879	380	5	63.1745
b0065	765	266	9	162.449
b0066	699	200.007	2	48.0109
b0067	1611	1112	3	12.953
b0068	984	485	13	128.694
b0069	1656	1157	10	41.4975
b4662	132	7.08371	0	0
b0070	1179	680	7	49.4247
b0071	606	109.099	1	44.0084
b0072	1401	902	5	26.6145
b0073	1092	593	0	0
b0074	1572	1073	1	4.47461
b0075	87	6.40809	0	0
b0076	945	446	2	21.5303
b0077	1725	1226	2	7.8324
b0078	492	37.7891	0	0
b0080	1005	506	12	113.864
b0081	459	28.7601	1	166.942
b0082	942	443	36	390.17
b0083	366	15.9154	0	0
b0084	1767	1268	27	102.235
b0085	1488	989	29	140.785
b0086	1359	860	17	94.9086
b0087	1083	584	13	106.877
b0088	1317	818	7	41.0866
b0089	1245	746	33	212.388
b0090	1068	569	6	50.6284
b0091	1476	977	21	103.2
b0092	921	422	22	250.303
b0093	831	332	11	159.078
b0094	1263	764	22	138.256
b0095	1152	653	58	426.452
b0096	918	419	76	870.873
b0097	513	45.7163	6	630.138
b0098	2706	2207	143	311.092
b0099	390	18.1303	0	0
b0101	198	8.39836	0	0
b0102	744	245	7	137.179
b0103	621	123.049	4	156.076
b0104	1044	545	32	281.909
b0106	1203	704	1	6.81997
b0107	1386	887	2	10.8258
b0108	441	25.1479	0	0
b0109	894	395	15	182.326
b0110	552	66.4726	4	288.917
b0111	855	356	3	40.4601
b0112	1374	875	6	32.9229
b0113	765	266	105	1895.23
