target_id	length	eff_length	est_counts	tpm
b0001	66	6.13712	0	0
b0002	2463	1964	108	225.509
b0003	933	434	24	226.779
b0004	1287	788	36	187.351
b0005	297	11.6716	0	0
b0006	777	278	12	177.018
b0007	1431	932	1	4.40012
b0008	954	455	289	2604.76
b0009	588	93.3306	1	43.9397
b0010	567	76.7977	2	106.798
b0011	714	215.002	0	0
b0013	405	19.811	0	0
b0014	1917	1418	812	2348.34
b0015	1131	632	33	214.13
b0016	1113	614	18.3333	122.449
b0018	210	8.69356	0	0
b4412	153	7.45333	0	0
b0019	1167	668	46	282.398
b0020	906	407	7	70.5317
b0021	504	42.0749	2.5	243.668
b0022	276	10.782	0	0
b0023	264	10.331	0	0
b0024	219	8.9292	0	0
b0025	942	443	58	536.914
b0026	2817	2318	134	237.068
b0027	495	38.8032	0	0
b0028	450	26.8585	0	0
b0029	951	452	16	145.165
b0030	915	416	5	49.2899
b0031	822	323	8	101.571
b0032	1149	650	5	31.5455
b0033	3222	2723	13	19.5784
b0034	396	18.7715	0	0
b0035	591	95.8682	0	0
b0036	786	287	0	0
b0037	1554	1055	2	7.77425
b0038	1218	719	3	17.1109
b0039	1143	644	3	19.1036
b0040	1515	1016	0	0
b0041	771	272	0	0
b0042	942	443	0	0
b0043	1287	788	0	0
b0044	288	11.2734	0	0
b0045	1332	833	0	0
b0046	531	54.2343	2	151.23
b0047	1863	1364	2	6.01307
b0048	480	34.082	0	0
b0049	843	344	6	71.5276
b0050	378	16.9581	0	0
b0051	822	323	14	177.749
b0052	990	491	13	108.578
b0053	1287	788	53	275.823
b0054	2355	1856	162	357.946
b0055	816	317	7	90.5565
b4659	807	308	8	106.517
b0058	660	161.116	15	381.799
b0059	2907	2408	154	262.268
b0060	2352	1853	3	6.63937
b0061	696	197.009	0	0
b0062	1503	1004	0	0
b0063	1701	1202	1	3.41174
b0064	879	380	4	43.1675
b0065	765	266	7	107.919
b0066	699	200.007	4	82.0155
b0067	1611	1112	6	22.1272
b0068	984	485	14	118.377
b0069	1656	1157	6	21.2666
b4662	132	7.08371	0	0
b0070	1179	680	11	66.3383
b0071	606	109.099	0	0
b0072	1401	902	1	4.54647
b0073	1092	593	1	6.91554
b0074	1572	1073	4	15.2877
b0075	87	6.40809	0	0
b0076	945	446	0	0
b0077	1725	1226	7	23.4147
b0078	492	37.7891	1	108.521
b0080	1005	506	19	153.987
b0081	459	28.7601	1	142.591
b0082	942	443	24	222.172
b0083	366	15.9154	0	0
b0084	1767	1268	39	126.132
b0085	1488	989	31	128.542
b0086	1359	860	11	52.4536
b0087	1083	584	8	56.1769
b0088	1317	818	17	85.2269
b0089	1245	746	21	115.441
b0090	1068	569	19	136.937
b0091	1476	977	32	134.319
b0092	921	422	15	145.767
b0093	831	332	19	234.691
b0094	1263	764	34	182.501
b0095	1152	653	49	307.726
b0096	918	419	66	645.968
b0097	513	45.7163	14	1255.85
b0098	2706	2207	151	280.579
b0099	390	18.1303	0	0
b0101	198	8.39836	0	0
b0102	744	245	9	150.646
b0103	621	123.049	4	133.31
b0104	1044	545	32	240.788
b0106	1203	704	3	17.4755
b0107	1386	887	1	4.62335
b0108	441	25.1479	0	0
b0109	894	395	6	62.2924
b0110	552	66.4726	4	246.773
b0111	855	356	2	23.0389
b0112	1374	875	4	18.747
b0113	765	266	131	2019.62
b0114	2664	2165	2167	4104.7
b0115	1893	1394	857	2521.15
b0116	1425	926	458	2028.31
b0117	1854	1355	0	0
b0118	2598	2099	85	166.069
b0119	363	15.6727	0	0
b0120	795	296	48	665.013
b0121	867	368	47	523.758
b0122	348	14.5549	0	0
b0123	1551	1052	7	27.2875
b0124	2391	1892	20	43.3501
b0125	537	57.4692	33	2354.83
b0126	663	164.095	35	874.688
b0127	927	428	19	182.05
b0128	771	272	7	105.538
b0129	441	25.1479	0	0
b0130	1230	731	5	28.05
b0131	381	17.2382	0	0
b0132	903	404	0	0
b0133	852	353	15	174.26
b0134	795	296	15	207.817
b0135	1239	740	2	11.0836
b0136	597	101.058	1	40.5799
b0137	606	109.099	0	0
b0138	570	79.0173	0	0
b0139	2598	2099	6	11.7225
b0140	741	242	0	0
b0141	585	90.8337	0	0
b0142	480	34.082	0	0
b0143	1398	899	70	319.315
b0144	927	428	5	47.9079
b0145	456	28.1035	40	5836.87
b0146	705	206.004	1	19.9069
b0147	531	54.2343	1	75.6148
b0148	2430	1931	8	16.9898
b0149	2535	2036	37	74.5255
b0150	2244	1745	211	495.87
b0151	798	299	7	96.0081
b0152	891	392	0	0
b0153	1983	1484	7	19.3439
b0154	1281	782	43	225.498
b0155	1422	923	13	57.7594
b0156	345	14.3489	0	0
b0157	624	125.904	4	130.287
b0158	801	302	2	27.1584
b0159	699	200.007	32	656.124
b0160	1518	1019	5	20.1223
b0161	1425	926	51	225.86
b0162	1158	659	0	0
b0163	387	17.824	0	0
b0164	813	314	3	39.1807
b0166	825	326	78	981.201
b0167	2673	2174	15	28.2952
b0168	795	296	36	498.76
b0169	726	227.001	563	10171
b0170	852	353	954	11082.9
b0171	726	227.001	31	560.035
b0172	558	70.4455	41	2386.78
b0173	1197	698	7	41.1267
b0174	762	263	18	280.671
b0175	858	359	16	182.771
b0176	1353	854	37	177.674
b0177	2433	1934	184	390.16
b0178	486	35.8681	30	3430
b0179	1026	527	117	910.45
b0180	456	28.1035	0	0
b0181	789	290	41	579.785
b0182	1149	650	54	340.691
b0183	597	101.058	18	730.438
b0184	3483	2984	64	87.9553
b0185	960	461	61	542.637
b0186	2142	1643	5	12.48
b0187	390	18.1303	0	0
b0188	1299	800	6	30.7569
b0189	255	10.0165	0	0
b4406	201	8.47023	0	0
b0190	546	62.7123	6	392.355
b0191	423	22.2141	0	0
b0192	711	212.003	7	135.406
b0193	825	326	2	25.159
b0194	1719	1220	142	477.32
b0195	708	209.003	0	0
b0196	405	19.811	0	0
b0197	816	317	26	336.353
b0198	654	155.169	10	264.288
b0199	1032	533	20	153.881
b0200	576	83.6041	3	147.155
b0201	1542	1043	5.43749	21.3794
b0202	77	6.27601	0	0
b0203	76	6.26311	0	0
b0204	2904	2405	16.2898	27.7768
b0205	120	6.88922	0	0
b0206	77	6.27601	0	0
b0207	804	305	4	53.7825
b0208	915	416	2	19.7159
b0209	801	302	4	54.3168
b0210	624	125.904	0	0
b0211	1359	860	148	705.739
b0212	756	257	4	63.8275
b0213	723	224.001	6	109.846
b0214	468	30.877	0	0
b0215	732	233	2	35.2009
b0216	77	6.27601	0	0
b0217	786	287	5	71.4445
b4586	480	34.082	0	0
b0218	357	15.2072	0	0
b4503	273	10.6657	0	0
b0219	771	272	8	120.615
b0220	474	32.4213	0	0
b0221	2445	1946	1	2.10736
b0222	579	85.9688	2	95.4047
b0223	768	269	5	76.2252
b0224	741	242	23	389.756
b0225	279	10.9009	0	0
b0226	261	10.224	0	0
b0227	750	251	0	0
b0228	498	39.8547	0	0
b0229	1713	1214	1	3.37802
b0230	756	257	0	0
