target_id	length	eff_length	est_counts	tpm
b0001	66	6.13712	0	0
b0002	2463	1964	38	80.5996
b0003	933	434	13	124.78
b0004	1287	788	24	126.875
b0005	297	11.6716	0	0
b0006	777	278	33	494.493
b0007	1431	932	0	0
b0008	954	455	564	5163.67
b0009	588	93.3306	1	44.6341
b0010	567	76.7977	1	54.2429
b0011	714	215.002	0	0
b0013	405	19.811	0	0
b0014	1917	1418	492	1445.37
b0015	1131	632	3	19.774
b0016	1113	614	11.6667	79.1533
b0018	210	8.69356	0	0
b4412	153	7.45333	0	0
b0019	1167	668	23	143.431
b0020	906	407	6	61.4112
b0021	504	42.0749	2.25	222.767
b0022	276	10.782	0	0
b0023	264	10.331	0	0
b0024	219	8.9292	0	0
b0025	942	443	59	554.803
b0026	2817	2318	85	152.755
b0027	495	38.8032	0	0
b0028	450	26.8585	0	0
b0029	951	452	18	165.892
b0030	915	416	8	80.1101
b0031	822	323	3	38.691
b0032	1149	650	5	32.0441
b0033	3222	2723	11	16.8281
b0034	396	18.7715	0	0
b0035	591	95.8682	0	0
b0036	786	287	0	0
b0037	1554	1055	0	0
b0038	1218	719	2	11.5876
b0039	1143	644	3	19.4056
b0040	1515	1016	0	0
b0041	771	272	0	0
b0042	942	443	0	0
b0043	1287	788	0	0
b0044	288	11.2734	0	0
b0045	1332	833	0	0
b0046	531	54.2343	1	76.8098
b0047	1863	1364	3	9.16216
b0048	480	34.082	1	122.227
b0049	843	344	6	72.658
b0050	378	16.9581	0	0
b0051	822	323	22	283.734
b0052	990	491	12	101.81
b0053	1287	788	66	348.906
b0054	2355	1856	153	343.403
b0055	816	317	3	39.4233
b4659	807	308	5	67.6254
b0058	660	161.116	12	310.266
b0059	2907	2408	81	140.126
b0060	2352	1853	10	22.481
b0061	696	197.009	0	0
b0062	1503	1004	1	4.14913
b0063	1701	1202	0	0
b0064	879	380	4	43.8498
b0065	765	266	5	78.3031
b0066	699	200.007	2	41.6558
b0067	1611	1112	5	18.7308
b0068	984	485	12	103.07
b0069	1656	1157	0	0
b4662	132	7.08371	0	0
b0070	1179	680	158	967.919
b0071	606	109.099	11	420.014
b0072	1401	902	3	13.855
b0073	1092	593	2	14.0497
b0074	1572	1073	1	3.88232
b0075	87	6.40809	0	0
b0076	945	446	0	0
b0077	1725	1226	0	0
b0078	492	37.7891	0	0
b0080	1005	506	23	189.351
b0081	459	28.7601	3	434.533
b0082	942	443	21	197.472
b0083	366	15.9154	0	0
b0084	1767	1268	37	121.555
b0085	1488	989	14	58.9688
b0086	1359	860	13	62.9703
b0087	1083	584	12	85.5971
b0088	1317	818	9	45.8332
b0089	1245	746	25	139.602
b0090	1068	569	8	58.5691
b0091	1476	977	19	81.0121
b0092	921	422	20	197.428
b0093	831	332	18	225.853
b0094	1263	764	23	125.408
b0095	1152	653	43	274.313
b0096	918	419	89	884.844
b0097	513	45.7163	8	728.971
b0098	2706	2207	186	351.076
b0099	390	18.1303	0	0
b0101	198	8.39836	0	0
b0102	744	245	14	238.041
b0103	621	123.049	10	338.541
b0104	1044	545	27	206.375
b0106	1203	704	2	11.8345
b0107	1386	887	2	9.39285
b0108	441	25.1479	0	0
b0109	894	395	13	137.1
b0110	552	66.4726	6	376.01
b0111	855	356	3	35.1044
b0112	1374	875	4	19.0433
b0113	765	266	67	1049.26
b0114	2664	2165	740	1423.85
b0115	1893	1394	162	484.109
b0116	1425	926	282	1268.61
b0117	1854	1355	1	3.07434
b0118	2598	2099	97	192.509
b0119	363	15.6727	0	0
b0120	795	296	20	281.468
b0121	867	368	19	215.078
b0122	348	14.5549	0	0
b0123	1551	1052	5	19.7991
b0124	2391	1892	19	41.8334
b0125	537	57.4692	42	3044.43
b0126	663	164.095	101	2563.99
b0127	927	428	10	97.3301
b0128	771	272	2	30.6303
b0129	441	25.1479	0	0
b0130	1230	731	11	62.6854
b0131	381	17.2382	0	0
b0132	903	404	0	0
b0133	852	353	16	188.815
b0134	795	296	18	253.321
b0135	1239	740	1	5.62936
b0136	597	101.058	1	41.2212
b0137	606	109.099	0	0
b0138	570	79.0173	0	0
b0139	2598	2099	0	0
b0140	741	242	0	0
b0141	585	90.8337	0	0
b0142	480	34.082	0	0
b0143	1398	899	89	412.402
b0144	927	428	4	38.932
b0145	456	28.1035	52	7707.85
b0146	705	206.004	1	20.2216
b0147	531	54.2343	1	76.8098
b0148	2430	1931	16	34.5166
b0149	2535	2036	20	40.9207
b0150	2244	1745	246	587.26
