target_id	length	eff_length	est_counts	tpm
b0001	66	6.13712	0	0
b0002	2463	1964	32	77.1934
b0003	933	434	6	65.4988
b0004	1287	788	33	198.408
b0005	297	11.6716	0	0
b0006	777	278	34	579.436
b0007	1431	932	2	10.1668
b0008	954	455	448	4664.86
b0009	588	93.3306	0	0
b0010	567	76.7977	0	0
b0011	714	215.002	1	22.0358
b0013	405	19.811	0	0
b0014	1917	1418	386	1289.68
b0015	1131	632	3	22.4893
b0016	1113	614	18.3333	141.464
b0018	210	8.69356	0	0
b4412	153	7.45333	0	0
b0019	1167	668	18	127.664
b0020	906	407	16	186.25
b0021	504	42.0749	0.75	84.4521
b0022	276	10.782	0	0
b0023	264	10.331	0	0
b0024	219	8.9292	0	0
b0025	942	443	58	620.292
b0026	2817	2318	68	138.985
b0027	495	38.8032	0	0
b0028	450	26.8585	0	0
b0029	951	452	22	230.598
b0030	915	416	3	34.1664
b0031	822	323	2	29.3359
b0032	1149	650	2	14.5777
b0033	3222	2723	10	17.399
b0034	396	18.7715	0	0
b0035	591	95.8682	0	0
b0036	786	287	0	0
b0037	1554	1055	3	13.4723
b0038	1218	719	0	0
b0039	1143	644	1	7.35675
b0040	1515	1016	0	0
b0041	771	272	0	0
b0042	942	443	0	0
b0043	1287	788	0	0
b0044	288	11.2734	0	0
b0045	1332	833	0	0
b0046	531	54.2343	0	0
b0047	1863	1364	7	24.3139
b0048	480	34.082	0	0
b0049	843	344	7	96.4076
b0050	378	16.9581	0	0
b0051	822	323	12	176.015
b0052	990	491	10	96.4917
b0053	1287	788	83	499.026
b0054	2355	1856	132	336.952
b0055	816	317	2	29.8911
b4659	807	308	5	76.9114
b0058	660	161.116	5	147.029
b0059	2907	2408	81	159.368
b0060	2352	1853	4	10.2272
b0061	696	197.009	0	0
b0062	1503	1004	3	14.1566
b0063	1701	1202	0	0
b0064	879	380	5	62.3387
b0065	765	266	5	89.0553
b0066	699	200.007	3	71.0637
b0067	1611	1112	3	12.7817
b0068	984	485	16	156.297
b0069	1656	1157	4	16.3794
b4662	132	7.08371	0	0
b0070	1179	680	179	1247.14
b0071	606	109.099	18	781.672
b0072	1401	902	5	26.2624
b0073	1092	593	0	0
b0074	1572	1073	2	8.83084
b0075	87	6.40809	0	0
b0076	945	446	1	10.6227
b0077	1725	1226	0	0
b0078	492	37.7891	0	0
b0080	1005	506	34	318.346
b0081	459	28.7601	0	0
b0082	942	443	22	235.283
b0083	366	15.9154	0	0
b0084	1767	1268	32	119.565
b0085	1488	989	24	114.971
b0086	1359	860	9	49.581
b0087	1083	584	8	64.9006
b0088	1317	818	3	17.3756
